file_id,frame_id,randolphs_kappa
295,6941,0.974
295,6942,0.975
295,6943,0.976
295,6944,0.974
295,6945,0.971
295,6946,0.973
295,6947,0.978
295,6948,0.974
295,6949,0.976
295,6950,0.968
295,6951,0.972
295,6952,0.971
295,6953,0.967
295,6954,0.97
295,6955,0.975
295,6956,0.972
295,6957,0.976
295,6958,0.978
295,6959,0.978
295,6960,0.969
295,6961,0.973
295,6962,0.971
2084,49248,0.974
2084,49249,0.975
2084,49250,0.977
2084,49251,0.976
2084,49252,0.975
2084,49253,0.977
2084,49254,0.978
2084,49255,0.977
2084,49256,0.97
2084,49257,0.977
2084,49258,0.978
2084,49259,0.976
2084,49260,0.975
2084,49261,0.977
2084,49262,0.975
2084,49263,0.975
2084,49264,0.978
2084,49265,0.975
2084,49266,0.974
2084,49267,0.976
2084,49268,0.977
2084,49269,0.97
2084,49270,0.967
2084,49271,0.973
3745,88854,0.931
3745,88855,0.926
3745,88856,0.932
3745,88857,0.933
3745,88858,0.925
3745,88859,0.934
3745,88860,0.926
3745,88861,0.932
3745,88862,0.933
3745,88863,0.93
3745,88864,0.93
3745,88865,0.928
3745,88866,0.928
3745,88867,0.934
3745,88868,0.936
3745,88869,0.934
3745,88870,0.93
3745,88871,0.931
3745,88872,0.933
3745,88873,0.93
3745,88874,0.918
3745,88875,0.924
3745,88876,0.927
4027,95584,0.957
4027,95585,0.969
4027,95586,0.969
4027,95587,0.972
4027,95588,0.969
4027,95589,0.966
4027,95590,0.971
4027,95591,0.971
4027,95592,0.97
4027,95593,0.968
4027,95594,0.97
4027,95595,0.966
4027,95596,0.967
4027,95597,0.965
4027,95598,0.966
4027,95599,0.967
4027,95600,0.965
4027,95601,0.963
4027,95602,0.969
4027,95603,0.964
4027,95604,0.966
4027,95605,0.971
4027,95606,0.969
4027,95607,0.971
4782,113601,0.969
4782,113602,0.971
4782,113603,0.97
4782,113604,0.973
4782,113605,0.967
4782,113606,0.966
4782,113607,0.966
4782,113608,0.966
4782,113609,0.97
4782,113610,0.969
4782,113611,0.97
4782,113612,0.968
4782,113613,0.971
4782,113614,0.972
4782,113615,0.965
4782,113616,0.972
4782,113617,0.973
4782,113618,0.97
4782,113619,0.969
4782,113620,0.968
4782,113621,0.968
4782,113622,0.974
4782,113623,0.968
4782,113624,0.974
4782,113625,0.972
6420,156773,0.96
6420,156774,0.947
6420,156775,0.922
6420,156776,0.858
6420,156777,0.779
6420,156778,0.714
6420,156779,0.659
6420,156780,0.67
6420,156781,0.74
6420,156782,0.796
6420,156783,0.841
6420,156784,0.91
6420,156785,0.958
6420,156786,0.963
6420,156787,0.947
6420,156788,0.928
6420,156789,0.881
6420,156790,0.822
6420,156791,0.728
6420,156792,0.666
6420,156793,0.618
6420,156794,0.631
6420,156795,0.686
6420,156796,0.756
6420,156797,0.8
6420,156798,0.875
6420,156799,0.932
6420,156800,0.949
6420,156801,0.94
6420,156802,0.94
6420,156803,0.884
6420,156804,0.827
6420,156805,0.757
6420,156806,0.698
6420,156807,0.636
6420,156808,0.609
6420,156809,0.724
6420,156810,0.767
6420,156811,0.833
6420,156812,0.876
6420,156813,0.872
6420,156814,0.948
6420,156815,0.955
6420,156816,0.951
6420,156817,0.887
6420,156818,0.821
6420,156819,0.771
6420,156820,0.73
6420,156821,0.739
6835,176956,0.971
6835,176957,0.974
6835,176958,0.978
6835,176959,0.976
6835,176960,0.98
6835,176961,0.974
6835,176962,0.978
6835,176963,0.981
6835,176964,0.98
6835,176965,0.978
6835,176966,0.98
6835,176967,0.976
6835,176968,0.975
6835,176969,0.973
6835,176970,0.97
6835,176971,0.973
6835,176972,0.974
6835,176973,0.975
6835,176974,0.972
6835,176975,0.974
6835,176976,0.975
6835,176977,0.979
6835,176978,0.978
6835,176979,0.98
6835,176980,0.98
6835,176981,0.973
6835,176982,0.979
6835,176983,0.978
6835,176984,0.976
6835,176985,0.975
6835,176986,0.971
6835,176987,0.972
6835,176988,0.97
6835,176989,0.969
6835,176990,0.969
6835,176991,0.973
6835,176992,0.971
6835,176993,0.972
6835,176994,0.972
6835,176995,0.977
6835,176996,0.977
6835,176997,0.977
6835,176998,0.974
6835,176999,0.975
6835,177000,0.974
6835,177001,0.977
6835,177002,0.972
6835,177003,0.972
6835,177004,0.969
7006,185259,0.969
7006,185260,0.971
7006,185261,0.97
